name,maj_axis,min_axis,mag,cat_num,in_maj,in_min
MCG-05-31-019, 12.00, 10.00,   15.0,,0.7,0.7
MCG-05-14-018,  6.00,  6.00,   16.0,,0.8,0.8
MCG-05-24-001, 20.00, 12.00,   13.0,NGC 3038,6,4
MCG-05-14-023,  8.00,  8.00,   15.0,,1.5,1.5
MCG-05-31-021,  8.00,  3.00,   16.0,,1,0.5
MCG-05-47-014,  6.00,  6.00,   15.0,,2.5,2.5
MCG-05-32-039,  8.00,  2.50,   15.0,,0,0
MCG-05-49-011,  3.00,  2.50,   15.0,,0,0
MCG-05-31-022,  4.00,  4.00,   15.0,,1,1
MCG-05-26-009, 14.00, 10.00,   14.0,,2,2
MCG-05-31-039, 24.00,  4.00,   15.0,,0,0
MCG-05-32-064,  6.00,  6.00,   15.0,,1.5,1
MCG-05-09-015,  8.00,  4.00,   15.0,,0,0
MCG-05-13-017,  6.00,  6.00,   15.0,,3,3
MCG-05-35-001,  6.00,  6.00,   15.0,,2.5,2.5
MCG-05-33-033, 12.00,  1.50,   15.0,,4,1
MCG-05-09-016, 15.00, 15.00,   14.0,,2,2
MCG-05-08-025, 20.00, 18.00,   13.0,NGC 1288,2,2
MCG-05-29-030, 10.00,  5.00,   15.0,,1,1
MCG-05-32-061,  8.00,  4.00,   15.0,,2,1
MCG-05-48-011, 13.00, 10.00,   15.0,,0,0
MCG-05-28-014,  5.00,  5.00,   15.0,,2,2
MCG-05-28-002,  4.00,  1.50,   15.0,,0,0
MCG-05-02-003,  8.00,  8.00,   13.0,NGC  101,3,2
MCG-05-11-004, 10.00,  5.00,   14.0,IC 2040:,4,3
MCG-05-31-005,  1.50,  1.50,   15.0,,0,0
MCG-05-31-004,  5.00,  5.00,   15.0,,1.5,1.5
MCG-05-47-009, 10.00,  2.00,   15.0,,0,0
MCG-05-29-024, 14.00,  2.00,   15.0,,6,2
MCG-05-52-031, 12.00,  6.00,   14.0,,0,0
MCG-05-48-028, 10.00,  8.00,   14.0,NGC 6947,1.5,1.5
MCG-05-08-027, 14.00,  1.50,   14.0,IC 1913,0,0
MCG-05-48-012, 12.00,  4.00,   15.0,,4,1.5
MCG-05-47-013, 10.00,  2.00,   15.0,,3,2
MCG-05-16-015, 14.00,  8.00,   14.0,NGC 2267,5,3
MCG-05-25-002, 10.00,  7.00,   13.0,NGC 3241,2.5,2
MCG-05-09-017,  0.00,  0.00,   14.0,,4,3
